"Name","Company","Description"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"NVDisplay.Container",,
"NVDisplay.Container",,
"OfficeClickToRun",,
"olk","Microsoft Corporation","Microsoft Outlook"
"OneApp.IGCC.WinService",,
"OneDrive","Microsoft Corporation","Microsoft OneDrive"
"ONENOTE","Microsoft Corporation","Microsoft OneNote"
"ONENOTEM","Microsoft Corporation","Send to OneNote Tool"
"OpenConsole","Microsoft Corporation","OpenConsole.exe"
"PhoneExperienceHost","Microsoft Corporation","Microsoft Phone Link"
"pwsh","Microsoft Corporation","pwsh"
"pwsh","Microsoft Corporation","pwsh"
"Registry",,
"rorchcdk",,
"RstMwService",,
"RtkAudUService64",,
"RtkAudUService64",,
"RtkAudUService64","Realtek Semiconductor","Realtek HD Audio Universal Service"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"SDApiService",,
"SearchHost","Microsoft Corporation",""
"SearchIndexer",,
"Secure System",,
"SecurityHealthService",,
"SecurityHealthSystray","Microsoft Corporation","Windows Security notification icon"
"SEDService",,
"services",,
"ServiceShell",,
"ShellExperienceHost","Microsoft Corporation","Windows Shell Experience Host"
"sihost","Microsoft Corporation","Shell Infrastructure Host"
"smss",,
"Sophos UI","Sophos Limited","Sophos Endpoint Agent"
"SophosFileScanner",,
"SophosFileScanner",,
"SophosFS",,
"SophosHealth",,
"SophosLiveQueryService",,
"SophosNetFilter",,
"SophosNtpService",,
"SophosOsquery",,
"splwow64","Microsoft Corporation","Print driver host for applications"
"spoolsv",,
"SSPService",,
"StarMicronicsCloudUploader","Star Micronics Co., Ltd.","Star Micronics Cloud Upload Application"
"StartMenuExperienceHost","Microsoft Corporation","Windows Start Experience Host"
"SupportAssistAgent",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost",,
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost",,
"svchost",,
"svchost",,
"System",,
"SystemSettings","Microsoft Corporation","Settings"
"SystemSettingsBroker","Microsoft Corporation","System Settings Broker"
"taskhostw","Microsoft Corporation","Host Process for Windows Tasks"
"TextInputHost","Microsoft Corporation",""
"ThermalPrintingService",,
"tvnserver",,
"tvnserver","GlavSoft LLC.","TightVNC Server"
"uhssvc",,
"unsecapp",,
"unsecapp","Microsoft Corporation","Sink to receive asynchronous callbacks for WMI client application"
"UserOOBEBroker","Microsoft Corporation","User OOBE Broker"
"WavesAudioService",,
"WavesSvc64","Waves Audio Ltd.","Waves MaxAudio Service Application"
"WavesSysSvc64",,
"WDTRpcServer",,
"Widgets","Microsoft Corporation",""
"WidgetService","Microsoft Corporation","WidgetService.exe"
"WindowsTerminal","Microsoft Corporation","WindowsTerminal.exe"
"wininit",,
"winlogon",,
"wlanext",,
"WmiPrvSE",,
"WmiPrvSE",,
"WmiPrvSE",,
"WMIRegistrationService",,
"WUDFHost",,
"WUDFHost",,
"WUDFHost",,
